OPERATEUR,year,Consumption
MARSA MAROC,2020,36911
MARSA MAROC,2021,36669
MARSA MAROC,2022,40833
MARSA MAROC,2023,43216
MARSA MAROC,2024,36557
TC3PC,2020,9643
TC3PC,2021,7299
TC3PC,2022,4867
TC3PC,2023,5011
TC3PC,2024,3404
SOMAPORT,2020,34724
SOMAPORT,2021,49604
SOMAPORT,2022,32140
SOMAPORT,2023,39554
SOMAPORT,2024,23178
OCP,2020,11772
OCP,2021,7819
OCP,2022,9600
OCP,2023,19030
OCP,2024,8733
ONICL (SOSIPO),2020,7067
ONICL (SOSIPO),2021,6971
ONICL (SOSIPO),2022,3870
ONICL (SOSIPO),2023,3315
ONICL (SOSIPO),2024,1401
MASS CEREALES,2020,1454
MASS CEREALES,2021,1153
MASS CEREALES,2022,1303
MASS CEREALES,2023,7743
MASS CEREALES,2024,1733
GLACIERES DU PORT,2020,9630
GLACIERES DU PORT,2021,15511
GLACIERES DU PORT,2022,14631
GLACIERES DU PORT,2023,10812
GLACIERES DU PORT,2024,0
SOCOBANA,2020,0
SOCOBANA,2021,0
SOCOBANA,2022,0
SOCOBANA,2023,0
SOCOBANA,2024,0
ONP,2020,8842
ONP,2021,8917
ONP,2022,7555
ONP,2023,7883
ONP,2024,5987
RESTAURANT DU PORT,2020,4551
RESTAURANT DU PORT,2021,5103
RESTAURANT DU PORT,2022,4391
RESTAURANT DU PORT,2023,0
RESTAURANT DU PORT,2024,0
OSTREA,2020,1071
OSTREA,2021,989
OSTREA,2022,1060
OSTREA,2023,0
OSTREA,2024,0
PRIVES,2020,46752
PRIVES,2021,26967
PRIVES,2022,19847
PRIVES,2023,36225
PRIVES,2024,33628
ZCN NAVIRES,2020,2943
ZCN NAVIRES,2021,1966
ZCN NAVIRES,2022,3314
ZCN NAVIRES,2023,1892
ZCN NAVIRES,2024,1886
